Fræ_asvi_;Deild;Stuttfagnúmer;Fagheiti;Dagsetning;Sta_nemar;Heildarfjöldi;Tegund lokaprófs
1;14;LÖG152F;Hugverkaréttur á svi_i i_na_ar;12/12/16 08:00;7;7;Munnlegt
5;56;UMV120F;Loftgæ_i og st_ring;12/12/16 09:00;14;14;Skriflegt
1;11;FÉL105G;Félagsfræ_i í_rótta;12/12/16 09:00;29;29;Skriflegt
1;12;FRG508G;Inngangur a_ eigindlegum rannsóknara_fer_um;12/12/16 09:00;75;75;Skriflegt
1;15;STJ304G;Stjórnmálaheimspeki;12/12/16 09:00;59;59;Próf í tölvuveri
1;15;ASK304F;Efst á baugi í al_jó_astjórnmálum;12/12/16 09:00;15;15;Skriflegt
1;16;VI_301G;Fjármál I;12/12/16 09:00;259;259;Skriflegt
2;23;LEI503G;Erf_afræ_i;12/12/16 09:00;15;15;Skriflegt
2;23;SJÚ308G;Áreynslulífe_lisfræ_i;12/12/16 09:00;30;30;Skriflegt
2;23;LÆK305F;Taugasjúkdómafræ_i;12/12/16 09:00;24;24;Skriflegt og Verklegt
2;23;LÆK514G;Meinafræ_i;12/12/16 09:00;50;50;Skriflegt
2;23;LÆK313G;Lífe_lisfræ_i A;12/12/16 09:00;49;49;Skriflegt
2;24;NÆR503M;Næringarefnainnihald matvæla og matvælaefnagreining;12/12/16 09:00;10;10;Skriflegt
2;24;MAT504M;Framlei_slutækni matvæla;12/12/16 09:00;17;17;Skriflegt
2;25;SÁL503G;Félagsleg sálfræ_i;12/12/16 09:00;84;84;Skriflegt
2;26;TSM001G;Liffærafræ_i;12/12/16 09:00;8;8;Skriflegt
3;31;JAP302G;Japönsk málnotkun III;12/12/16 09:00;15;15;Skriflegt
3;31;DAN110G;Danskar samtímabókmenntir;12/12/16 09:00;7;7;Skriflegt
3;31;SPÆ302M;___ingar (spænska);12/12/16 09:00;9;9;Skriflegt
3;31;GRÍ103G;Forngríska I;12/12/16 09:00;8;8;Skriflegt
3;32;GFR324M;Sálgæslufræ_i;12/12/16 09:00;17;17;Skriflegt
3;34;HSP104G;Fornaldarheimspeki;12/12/16 09:00;43;43;Skriflegt
3;34;SAG319G;Ævisaga sem a_fer_;12/12/16 09:00;26;26;Skriflegt
4;41;TÓS301G;Útinám, náttúra og reynsla;12/12/16 09:00;48;48;Munnlegt
4;42;LSS402G;Málörvun og bernskulæsi;12/12/16 09:00;38;38;Skriflegt
5;51;TÖL305G;Tölvunet og öryggi;12/12/16 09:00;54;54;Skriflegt
5;51;VÉL301G;Efnisfræ_i V;12/12/16 09:00;57;57;Skriflegt
5;55;EFN304G;Ólífræn efnafræ_i 1;12/12/16 09:00;12;12;Skriflegt
5;55;E_L306G;Inngangur a_ skammtafræ_i;12/12/16 09:00;26;26;Skriflegt
5;56;BYG501G;Jar_tækni og grundun 1;12/12/16 09:00;17;17;Skriflegt
5;56;BYG302G;Efnisfræ_i;12/12/16 09:00;11;11;Skriflegt
1;11;_JÓ103G;Inngangur a_ _jó_fræ_i;12/12/16 09:00;24;24;Skriflegt
5;54;RAF501G;Fjarskiptaverkfræ_i;12/12/16 13:30;12;12;Skriflegt
1;11;FOM001F;Megindleg a_fer_afræ_i;12/12/16 13:30;21;21;Skriflegt
3;31;FRA307G;Frönsk málvísindi;12/12/16 13:30;6;6;Skriflegt
1;14;LÖG503G;Réttarfar I;12/12/16 13:30;80;80;Próf í tölvuveri
3;31;__S308G;__skt mál II;12/12/16 13:30;9;9;Skriflegt
5;53;LÍF516M;Umhverfisfræ_i;12/12/16 13:30;33;33;Skriflegt
2;25;SÁL104G;Sk_ringar á heg_un;12/12/16 13:30;250;250;Skriflegt
2;21;HJÚ135F;Hagn_t tölfræ_i;12/12/16 13:30;23;23;Skriflegt og Verklegt
5;55;STÆ519M;Diffurrúmfræ_i;12/12/16 13:30;4;4;Skriflegt
3;31;ENS134G;Academic Content-Based Learning:  Business, Tourism, and Law;12/12/16 13:30;13;13;Óákve_i_
1;11;MAN330G;Inngangur a_ líffræ_ilegri mannfræ_i;12/12/16 13:30;52;52;Skriflegt
3;33;ÍSE014G;Íslensk menning;12/12/16 13:30;60;60;Skriflegt
2;23;GSL104G;E_lisfræ_i;12/12/16 13:30;107;107;Skriflegt
2;21;HJÚ106G;Heilbrig_ismat;12/12/16 13:30;115;115;Skriflegt og Verklegt
1;15;ASK101F;European Security Institutions and Small States;12/12/16 13:30;18;18;Skriflegt
5;55;LEF508G;Hagn_tt lífefnafræ_i G;12/12/16 13:30;13;13;Skriflegt
5;52;JAR117F;Jar_efnafræ_i og yfirbor_ jar_ar;12/12/16 13:30;28;28;Skriflegt
5;51;TÖL106G;Tölvur og st_rikerfi;12/12/16 13:30;166;166;Skriflegt
1;15;STJ503G;Stjórnmála_átttaka, kosningar og kosningabarátta;12/12/16 13:30;8;8;Skriflegt
3;33;ÍSE501G;Íslenskar bókmenntir I: Fyrstu _úsund árin;12/12/16 13:30;22;22;Skriflegt
3;31;ENS303G;Breskar bókmenntir II;12/12/16 13:30;77;77;Skriflegt
1;13;HAG110F;Fjármálatölfræ_i;12/12/16 13:30;29;29;Skriflegt
2;23;LÆK310G;Sameindalífvísindi A;12/12/16 13:30;60;60;Skriflegt
1;14;LÖG118F;Verktaka- og útbo_sréttur;13/12/16 08:00;55;55;Munnlegt
4;43;MEN102G;Inngangur a_ uppeldis- og menntunarfræ_i;13/12/16 09:00;55;55;Skriflegt
2;23;LÆK112G;Almenn líffræ_i A;13/12/16 09:00;62;62;Skriflegt
1;12;FRG101G;Almenn félagsrá_gjöf: Saga, kenningar og fag_róun;13/12/16 09:00;71;71;Skriflegt
5;54;TÖV301G;Tölvuhögun;13/12/16 09:00;79;79;Skriflegt
4;42;LSS104G;Vísinda- og listasmi_ja;13/12/16 09:00;34;34;Skriflegt
3;33;ÍSL109G;A_fer_ir og vinnubrög_;13/12/16 09:00;22;22;Skriflegt
1;16;VI_302G;Lögfræ_i A - almenn vi_skiptalögfræ_i;13/12/16 09:00;219;219;Skriflegt
2;24;MAT103G;Matvælaframlei_sla og matvælai_na_ur;13/12/16 09:00;32;32;Skriflegt
5;56;UMV102G;Starf og ábyrg_ verkfræ_inga;13/12/16 09:00;36;36;Skriflegt
2;25;SÁL519G;Réttarsálfræ_i;13/12/16 09:00;47;47;Skriflegt
2;23;LÆK502F;Uppl_singatækni í heilbrig_isvísindum;13/12/16 09:00;50;50;Skriflegt
2;26;TAN608G;Krónu- og brúarger_ IV;13/12/16 09:00;7;7;Skriflegt og munnlegt
2;26;TAN110G;Vefjafræ_i;13/12/16 09:00;62;62;Skriflegt
5;55;E_L302G;Aflfræ_i;13/12/16 09:00;44;44;Skriflegt
5;55;E_L523M;Framlei_sla smárasa;13/12/16 09:00;9;9;Skriflegt
3;33;___002M;___ingar og ___ingatækni;13/12/16 09:00;11;11;Skriflegt
4;41;_RS515G;Si_fræ_i og fagmennska;13/12/16 09:00;63;63;Skriflegt
3;33;ÍSL301G;Straumar og stefnur í bókmenntafræ_i;13/12/16 09:00;14;14;Skriflegt
4;43;UMS103F;Hugur, heilsa og heilsulæsi;13/12/16 13:30;16;16;Skriflegt
2;21;HJÚ705G;Heimahjúkrun;13/12/16 13:30;82;82;Skriflegt
3;33;ABF316G;Spænskar bókmenntir;13/12/16 13:30;11;11;Skriflegt
1;16;VI_511G;Marka_srannsóknir;13/12/16 13:30;84;84;Skriflegt
2;23;GSL303G;Lyfjafræ_i, skuggaefni og brá_avi_brög_;13/12/16 13:30;18;18;Skriflegt
1;16;VI_113F;Fjármögnun fyrirtækja;13/12/16 13:30;35;35;Próf í tölvuveri
3;31;ÍTA113G;Skapandi skrif;13/12/16 13:30;11;11;Skriflegt
3;33;TÁK105G;Inngangur a_ málvísindum;13/12/16 13:30;33;33;Skriflegt
3;31;JAP101G;Japönsk málnotkun I;13/12/16 13:30;27;27;Skriflegt og munnlegt
2;21;HJÚ308G;Lyflækninga- og meinafræ_i;13/12/16 13:30;80;80;Skriflegt
5;55;STÆ303G;Algebra I;13/12/16 13:30;38;38;Skriflegt
5;53;LÍF315G;Frumulíffræ_i;13/12/16 13:30;47;47;Skriflegt
2;21;HJÚ502G;Hjúkrun krabbameinssjúklinga;13/12/16 13:30;66;66;Skriflegt
4;41;Í_H115G;Sundtækni og björgun;13/12/16 13:30;66;66;Skriflegt
2;22;LYF509G;Lyfjaefnafræ_i I;13/12/16 13:30;33;33;Skriflegt
5;51;I_N101G;Rekstrarfræ_i;13/12/16 13:30;140;140;Skriflegt
3;31;KÍN107G;Kínverska I;13/12/16 13:30;17;17;Skriflegt
4;42;GSS092G;Læsi og lestrarkennsla;13/12/16 13:30;80;80;Skriflegt
4;43;UMS501G;Hugur, heilsa og heilsulæsi;13/12/16 13:30;28;28;Skriflegt
1;14;LÖG103F;Hlutverk dómara og lögmanna vi_ me_fer_ einka- og sakamála;14/12/16 08:00;21;21;Munnlegt
1;14;LÖG114F;EU Environmental Law;14/12/16 08:00;23;23;Munnlegt
2;26;TSM101G;Fagvitund starfsstéttar;14/12/16 09:00;8;8;Skriflegt
5;56;BYG120F;Trévirki 1;14/12/16 09:00;9;9;Skriflegt
3;31;RÚS104G;Rússnesk málfræ_i og málnotkun II;14/12/16 09:00;12;12;Skriflegt
5;54;RAF503G;Merkjafræ_i;14/12/16 09:00;13;13;Skriflegt
3;32;GFR513M;Ritsk_ring Gt. Mósebækur og Spámenn;14/12/16 09:00;5;5;Skriflegt
1;11;FÉL306G;Tölfræ_i I: Inngangur (A_fer_afræ_i II);14/12/16 09:00;116;116;Skriflegt
3;33;ÍSE004G;Frambur_ur og tal I;14/12/16 09:00;128;128;Próf í tölvuveri
3;31;__S108G;__sk málfræ_i I;14/12/16 09:00;15;15;Skriflegt
5;52;JE_301G;Tektóník;14/12/16 09:00;30;30;Skriflegt
2;25;SÁL115G;A_fer_afræ_i;14/12/16 09:00;227;227;Skriflegt
3;34;HSP321G;Hugmyndasaga 19. og 20. aldar;14/12/16 09:00;31;31;Skriflegt
1;13;HAG304G;Rekstrarhagfræ_i III;14/12/16 09:00;40;40;Skriflegt
3;33;KVI101G;Kvikmyndar_ni;14/12/16 09:00;27;27;Skriflegt
2;23;LEI103G;Efnafræ_i - A;14/12/16 09:00;81;81;Skriflegt
2;23;LÆK115G;Líffærafræ_i IB;14/12/16 09:00;48;48;Skriflegt
5;51;I_N101M;Gæ_astjórnun;14/12/16 09:00;61;61;Munnlegt
2;23;LÆK116G;Líffærafræ_i sj. IB;14/12/16 09:00;41;41;Skriflegt
5;53;LAN102G;Kortager_;14/12/16 09:00;14;14;Skriflegt
1;16;VI_111F;Greining ársreikninga;14/12/16 09:00;18;18;Próf í tölvuveri
4;42;GSS101F;Námskrá og námsmat;14/12/16 09:00;118;118;Heimapróf
5;52;JE_505G;Jar_skorpuhreyfingar;14/12/16 09:00;35;35;Skriflegt
1;15;STJ301M;Kenningar í smáríkjafræ_um: Tækifæri og áskoranir smáríkja í al_jó_asamfélaginu;14/12/16 09:00;55;55;Skriflegt
5;53;LAN514G;Bygg_a_róun og atvinnulíf;14/12/16 13:30;28;28;Skriflegt
5;51;TÖL104G;Stær_fræ_imynstur í tölvunarfræ_i;14/12/16 13:30;232;232;Skriflegt
2;22;LYF301G;S_kla-, veiru- og örverufræ_i;14/12/16 13:30;43;43;Skriflegt og Verklegt
5;55;EFN307G;Varmafræ_i og inngangur a_ safne_lisfræ_i;14/12/16 13:30;21;21;Skriflegt
3;31;FRA107G;Land og menning;14/12/16 13:30;14;14;Skriflegt
3;33;ÍSE102G;Málfræ_i I;14/12/16 13:30;119;119;Skriflegt
3;31;ENS102G;Mál og ma_ur;14/12/16 13:30;78;78;Próf í tölvuveri
3;31;SÆN106G;Sænsk málfræ_i I;14/12/16 13:30;11;11;Skriflegt
2;26;TAN208G;Almenn meinafræ_i;14/12/16 13:30;8;8;Skriflegt
3;33;RÚT801F;Grundvallaratri_i vefmi_lunar _ Starf vefstjórans og vefritstjórn;14/12/16 13:30;50;50;Heimapróf
2;24;MAT303M;Matvælaörverufræ_i;14/12/16 13:30;17;17;Skriflegt
5;55;EFN315G;Varmafræ_i og inngangur a_ safne_lisfræ_i V;14/12/16 13:30;15;15;Skriflegt
1;15;STJ325G;A_hvarfsgreining;14/12/16 13:30;59;59;Skriflegt
1;16;VI_103G;Inngangur a_ fjárhagsbókhaldi;14/12/16 13:30;373;373;Skriflegt
5;53;LÍF108G;Lífheimurinn;14/12/16 13:30;52;52;Skriflegt
3;31;LAT101G;Latína I: Byrjendanámskei_;14/12/16 13:30;20;20;Skriflegt
5;53;UAU111F;Endurn_janleg orka: inngangur;14/12/16 13:30;28;28;Skriflegt
1;11;MAN331G;Nútímakenningar (Mannfræ_ikenningar II);14/12/16 13:30;38;38;Skriflegt
2;23;GSL101G;Efnafræ_i;14/12/16 13:30;28;28;Skriflegt
1;14;LÖG104F;Ofbeldisbrot frá sjónarhóli kvennaréttar;15/12/16 08:00;44;44;Munnlegt
2;23;LÆK304F;Ge_læknisfræ_i;15/12/16 09:00;25;25;Skriflegt og Verklegt
3;31;JAP103G;Japanskur frambur_ur og skilningur á tölu_u máli I;15/12/16 09:00;22;22;Skriflegt
3;31;RÚS201G;Rússneskar bókmenntir I;15/12/16 09:00;4;4;Skriflegt
3;31;__S310G;Ritfærni í __sku III: Textategundir;15/12/16 09:00;10;10;Skriflegt
3;31;DAN313G;Dönsk málfræ_i II;15/12/16 09:00;5;5;Skriflegt
3;31;DAN101G;Ritun á dönsku;15/12/16 09:00;5;5;Skriflegt
3;31;ÍTA324G;Land, menning og saga;15/12/16 09:00;3;3;Skriflegt
4;41;Í_H108G;Lífe_lisfræ_i;15/12/16 09:00;72;72;Skriflegt
4;42;GSS105G;Tala_ mál og rita_;15/12/16 09:00;109;109;Skriflegt
2;25;SÁL504G;Klínísk sálfræ_i;15/12/16 09:00;84;84;Skriflegt
2;24;NÆR504M;Næring á mismunandi æviskei_um;15/12/16 09:00;10;10;Skriflegt
2;23;GSL405G;Skuggaefnis- og æ_arannsóknir;15/12/16 09:00;10;10;Skriflegt
2;23;LÆK510F;Heimilislæknisfræ_i;15/12/16 09:00;50;50;Skriflegt og Verklegt
2;23;LEI501G;Líffærameinafræ_i - rannsóknir;15/12/16 09:00;13;13;Skriflegt og Verklegt
2;21;HJÚ110G;Si_fræ_i;15/12/16 09:00;106;106;Skriflegt
1;16;VI_167F;Vir_ismat fyrirtækja;15/12/16 09:00;43;43;Próf í tölvuveri
5;53;LÍF102G;Grasafræ_i;15/12/16 09:00;53;53;Skriflegt
5;53;LÍF313G;D_rafræ_i - hryggd_r;15/12/16 09:00;20;20;Skriflegt
1;16;VI_162F;Vörumerkjastjórnun;15/12/16 09:00;38;38;Skriflegt
5;55;EFN311G;E_lisefnafræ_i A;15/12/16 09:00;30;30;Skriflegt
1;14;LÖG303G;Samningaréttur;15/12/16 09:00;64;64;Próf í tölvuveri
5;55;STÆ520M;Netafræ_i;15/12/16 09:00;46;46;Skriflegt
1;11;UPP109F;Uppl_singafræ_i og mi_lun í samfélagi margbreytileikans;15/12/16 09:00;11;11;Skriflegt
5;55;E_L509M;Skammtafræ_i 1;15/12/16 09:00;8;8;Skriflegt
1;12;FRG501G;Fjölmenningarfélagsrá_gjöf;15/12/16 09:00;67;67;Skriflegt
3;34;FOR103G;Inngangur a_ fornleifafræ_i I;15/12/16 13:30;12;12;Skriflegt
2;23;SJÚ306G;Hreyfivísindi I: Starfræn líffærafræ_i og lífaflfræ_i;15/12/16 13:30;26;26;Skriflegt
4;42;MEX020G;Icelandic Nature and Cultural Legacy;15/12/16 13:30;32;32;Skriflegt
2;22;LYF105F;Sérhæf_ lyfjaform;15/12/16 13:30;24;24;Skriflegt
3;32;GFR110G;Kirkjusaga Evrópu;15/12/16 13:30;9;9;Skriflegt
2;25;SÁL136F;Sálmeinafræ_i barna og unglinga;15/12/16 13:30;19;19;Skriflegt
2;22;LYF507G;Lyfjafaraldsfræ_i;15/12/16 13:30;27;27;Skriflegt
2;23;LEI402G;Klínísk lífefnafræ_i - a_fer_afræ_i;15/12/16 13:30;20;20;Skriflegt og Verklegt
3;32;GFR114G;Kirkjusaga Evrópu- fyrir djáknanema.;15/12/16 13:30;3;3;Skriflegt
1;13;HAG303G;Hagrannsóknir I;15/12/16 13:30;31;31;Skriflegt
3;31;KÍN302G;Kínverska III;15/12/16 13:30;17;17;Skriflegt
4;41;_RS311G;A_fer_afræ_i rannsókna í félagsvísindum I;15/12/16 13:30;120;120;Skriflegt
5;51;TÖL103G;Tölvutækni og samfélagi_;15/12/16 13:30;100;100;Próf í tölvuveri
3;33;ABF043G;Leikhús nútímans;15/12/16 13:30;15;15;Skriflegt
3;33;MIS701F;Bókmenntir á norrænu á mi_öldum – yfirlit og helstu vi_fangsefni;15/12/16 13:30;32;32;Skriflegt
2;23;TAL106F;Málhömlun barna I;15/12/16 13:30;15;15;Skriflegt
5;51;I_N502G;Hagverkfræ_i;15/12/16 13:30;84;84;Skriflegt
1;11;FÉL313G;Inngangur a_ fjölmi_lafræ_i:  Vald og formger_;15/12/16 13:30;27;27;Skriflegt
1;16;VI_505G;Fjármálamarka_ir;15/12/16 13:30;91;91;Skriflegt
5;54;RAF301G;Merki og kerfi;15/12/16 13:30;28;28;Skriflegt
3;31;ENS507G;Afrískar bókmenntir;15/12/16 13:30;19;19;Skriflegt
3;33;LIS004G;Al_jó_leg listasaga fyrri tíma;15/12/16 13:30;23;23;Skriflegt
2;23;SJÚ508G;Sjúkdómafræ_i sto_kerfis;15/12/16 13:30;30;30;Skriflegt
2;23;GSL301G;Röntgenbúna_ur I;15/12/16 13:30;18;18;Skriflegt
2;23;SJÚ706G;Sjúkra_jálfun og heilsuvernd;15/12/16 13:30;25;25;Skriflegt
2;24;NÆR103G;Líffærafræ_i fyrir næringarfræ_inema;15/12/16 13:30;22;22;Skriflegt
3;34;HSP103G;Inngangur a_ heimspeki;15/12/16 13:30;43;43;Skriflegt
1;14;LÖG122F;Umhverfisréttur;16/12/16 08:00;12;12;Munnlegt
1;14;LÖG106F;Samkeppnisréttur I;16/12/16 08:00;77;77;Munnlegt
5;53;UAU112F;Orkuhagfræ_i, stefnumótun og sjálfbærni;16/12/16 09:00;17;17;Skriflegt
2;23;LÆK306F;Augnsjúkdómafræ_i;16/12/16 09:00;24;24;Skriflegt
3;31;SPÆ105G;Spænsk málfræ_i I;16/12/16 09:00;20;20;Skriflegt
5;53;LAN516G;Jar_vegsfræ_i;16/12/16 09:00;21;21;Skriflegt
2;23;LEI107G;Frumulíffræ_i;16/12/16 09:00;99;99;Skriflegt
5;53;LAN101G;Náttúrulandfræ_i;16/12/16 09:00;14;14;Skriflegt
5;51;TÖL504M;Reiknirit í lífuppl_singafræ_i;16/12/16 09:00;25;25;Skriflegt
4;43;MVS109F;A_fer_afræ_i rannsókna - megindleg a_fer_afræ_i;16/12/16 09:00;102;102;Skriflegt
2;25;SÁL313G;Skyn- og hugfræ_i A;16/12/16 09:00;95;95;Skriflegt
4;42;GSS095G;Stær_fræ_i;16/12/16 09:00;86;86;Skriflegt
5;55;EFN108G;Almenn efnafræ_i 1;16/12/16 09:00;215;215;Skriflegt
2;26;TAN207G;Örveru- og ónæmisfræ_i I;16/12/16 09:00;8;8;Skriflegt
3;31;JAP106G;Japanskt _jó_félag og menning II;16/12/16 09:00;16;16;Skriflegt
3;31;ENS329G;Bókmenntafræ_i (enska);16/12/16 09:00;56;56;Próf í tölvuveri
1;11;MAN504M;Dót: Hlutveruleikar og merkingarheimar;16/12/16 09:00;32;32;Skriflegt
1;14;LÖG502G;Refsiréttur I;16/12/16 09:00;77;77;Próf í tölvuveri
1;13;HAG106F;Rekstrarhagfræ_i fyrir meistaranema;16/12/16 09:00;11;11;Skriflegt
2;21;HJÚ504G;A_fer_afræ_i;16/12/16 09:00;66;66;Skriflegt
2;21;HJÚ219F;Svæfingahjúkrun II;16/12/16 09:00;9;9;Skriflegt
2;21;HJÚ310G;A_fer_afræ_i;16/12/16 09:00;79;79;Skriflegt
5;53;LAN113F;Jar_vegsfræ_i;16/12/16 09:00;4;4;Skriflegt
3;34;SAG103G;Heimsveldi og byltingar: Heimssaga fyrir 1815;16/12/16 13:30;62;62;Skriflegt
1;14;LÖG103G;Almenn lögfræ_i ásamt ágripi af réttarsögu;16/12/16 13:30;96;96;Próf í tölvuveri
1;13;HAG508G;Al_jó_ahagfræ_i;16/12/16 13:30;22;22;Skriflegt
1;13;HAG103G;_jó_hagfræ_i I;16/12/16 13:30;244;244;Skriflegt
3;32;GFR510M;Ritsk_ring Nt - Samstofna gu_spjöll - Lúkasargu_spjall og Postulasaga;16/12/16 13:30;5;5;Skriflegt
1;15;ASK305F;Non-state Actors and Non-military Security;16/12/16 13:30;15;15;Skriflegt
1;15;STJ101G;Inngangur a_ stjórnmálafræ_i: Íslenska stjórnkerfi_;16/12/16 13:30;122;122;Skriflegt
1;16;VI_304G;Marka_sfræ_i I (u);16/12/16 13:30;19;19;Skriflegt
5;55;LEF501M;Lífefnafræ_i 3;16/12/16 13:30;20;20;Skriflegt
5;54;RAF504G;Rafeindatækni 2;16/12/16 13:30;13;13;Skriflegt
3;33;ÍSE301G;Beygingarfræ_i I;16/12/16 13:30;38;38;Skriflegt
1;12;FRG316G;Réttarfélagsrá_gjöf;16/12/16 13:30;81;81;Skriflegt
3;31;__S105G;Ritfærni í __sku I;16/12/16 13:30;8;8;Skriflegt
5;56;UMV114F;Náttúruhamfarir;16/12/16 13:30;21;21;Skriflegt
5;51;TÖL304G;Forritunarmál;16/12/16 13:30;121;121;Skriflegt
3;33;ÍSL320G;Breytingar og tilbrig_i;16/12/16 13:30;26;26;Skriflegt
2;23;SJÚ106G;Vöxtur og _roski;16/12/16 13:30;38;38;Skriflegt
3;31;FRA101G;Frönsk málfræ_i og ritun I;16/12/16 13:30;10;10;Skriflegt
2;22;LYF303G;E_lislyfjafræ_i I;16/12/16 13:30;41;41;Skriflegt
5;51;VÉL120F;Jar_hitaborholur;16/12/16 13:30;17;17;Skriflegt
5;55;EFN316G;Inngangur a_ skammtaefnafræ_i;16/12/16 13:30;15;15;Skriflegt
3;31;SÆN107G;Hljó_fræ_i og sænskur frambur_ur;16/12/16 13:30;9;9;Skriflegt
5;55;EFN301G;Almenn efnafræ_i V;16/12/16 13:30;82;82;Skriflegt
3;33;ÍSL110G;Inngangur a_ málfræ_i;16/12/16 13:30;40;40;Skriflegt
3;31;ÍTA115G;Listasaga Ítalíu: Saga tískunnar;16/12/16 13:30;13;13;Skriflegt
3;32;GFR046F;Ritsk_ring Nt -Lúkas og Postulasagan;16/12/16 13:30;14;14;Skriflegt
